Name,Positive,Negative,Rating,Positive(%)
Aokana - Four Rhythms Across the Blue,"2,030",28,93.75%,98.64%
The Supper,"1,898",24,93.75%,98.75%
Ori and the Blind Forest,"42,774","1,993",93.74%,95.55%
Batman: Arkham City GOTY,"35,949","1,634",93.74%,95.65%
Desperados III,"6,253",188,93.72%,97.08%
Killing Floor,"58,426","2,848",93.71%,95.35%
Glass Masquerade,"4,602",122,93.70%,97.42%
SOMA,"25,086","1,092",93.68%,95.83%
Noita,"28,143","1,258",93.66%,95.72%
Portal Stories: Mel,"15,113",600,93.66%,96.18%
Cube Escape: Paradox,"4,940",138,93.66%,97.28%
Zup! S,"5,252",151,93.65%,97.21%
The Forest,"243,316","13,675",93.63%,94.68%
Streets of Rogue,"12,614",487,93.62%,96.28%
Sayonara Wild Hearts,"4,511",123,93.62%,97.35%
Superflight,"8,338",288,93.61%,96.66%
Aventura Copilului Albastru și Urât,"1,178",6,93.61%,99.49%
Ultimate Custom Night,"22,206",968,93.60%,95.82%
Nuclear Throne,"13,627",539,93.60%,96.20%
Bug Fables: The Everlasting Sapling,"2,075",33,93.60%,98.43%
Mindustry,"7,390",248,93.58%,96.75%
Downwell,"5,906",183,93.58%,96.99%
Kingdom Rush,"7,348",248,93.56%,96.74%
Little Witch Nobeta,"5,742",178,93.55%,96.99%
SuchArt: Creative Space,"2,060",34,93.54%,98.38%
The Talos Principle,"22,341",992,93.53%,95.75%
Bit Blaster XL,"5,744",180,93.53%,96.96%
WORLD OF HORROR,"3,801",100,93.50%,97.44%
Hidden Folks,"6,912",234,93.49%,96.73%
Bloodstained: Ritual of the Night,"25,662","1,182",93.48%,95.60%
LEGO® Star Wars™: The Complete Saga,"11,679",461,93.48%,96.20%
The Elder Scrolls IV: Oblivion,"27,341","1,276",93.47%,95.54%
The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,"27,341","1,276",93.47%,95.54%
planetarian HD,"1,520",18,93.47%,98.83%
NEKOPARA Vol. 1,"21,625",974,93.46%,95.69%
TY the Tasmanian Tiger,"2,068",36,93.46%,98.29%
Sekiro™: Shadows Die Twice,"121,316","6,725",93.45%,94.75%
S.T.A.L.K.E.R.: Shadow of Chernobyl,"20,106",899,93.43%,95.72%
NEKOPARA Extra,"2,507",53,93.42%,97.93%
Riddle Joker,"1,190",9,93.42%,99.25%
Game Dev Tycoon,"33,731","1,647",93.41%,95.34%
Aim Lab,"29,967","1,444",93.39%,95.40%
DEEP SPACE WAIFU,"8,211",303,93.39%,96.44%
klocki,"4,093",118,93.37%,97.20%
There is no game: Jam Edition 2015,"3,289",85,93.37%,97.48%
Total War: MEDIEVAL II - Definitive Edition,"19,811",901,93.36%,95.65%
Trine 2,"18,652",839,93.36%,95.70%
missed messages.,"10,713",429,93.36%,96.15%
FIVE NIGHTS AT FREDDY'S: HELP WANTED,"4,383",131,93.36%,97.10%
Being a DIK,"3,342",88,93.34%,97.43%
Princess Remedy in a World of Hurt,"2,577",58,93.34%,97.80%
Dust: An Elysian Tail,"16,118",713,93.32%,95.76%
Team Fortress 2,"719,632","45,536",93.30%,94.05%
Orcs Must Die!,"6,135",213,93.30%,96.64%
Zup! X,"5,038",166,93.25%,96.81%
Mafia II (Classic),"43,052","2,254",93.24%,95.02%
LoveChoice 拣爱,"6,085",215,93.24%,96.59%
异化之恶〇Abnormal Treatment,"1,994",39,93.23%,98.08%
Tsukikage no Simulacre:Kaihou no Hane,"1,482",21,93.23%,98.60%
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,"18,523",865,93.21%,95.54%
LISA,"10,415",433,93.20%,96.01%
VVVVVV,"7,779",300,93.20%,96.29%
Rakuen,"3,928",119,93.20%,97.06%
